name,url,category,subcategory,description,keywords,pricing,analysis
Dribbble,https://dribbble.com,inspiration,ui-general,全球设计师作品展示平台，UI/UX/品牌/动效灵感,ui design shots portfolio showcase branding,freemium,"核心特色：以 Shot（设计截图）为主的社区平台，全球顶尖设计师聚集地。适用场景：寻找 UI 视觉灵感、按颜色/标签筛选设计风格、关注行业设计趋势。优势：作品质量极高，支持按颜色搜索，社区活跃。局限：免费版搜索和筛选功能有限，偏视觉展示而非完整项目。推荐理由：设计师找灵感的第一站，尤其适合 UI 视觉风格探索。"
Behance,https://behance.net,inspiration,ui-general,Adobe 旗下设计作品集平台，涵盖各类创意项目,portfolio creative projects adobe design showcase,free,"核心特色：Adobe 生态的设计作品展示平台，支持完整项目案例呈现。适用场景：查看完整设计项目流程（从概念到成品）、多领域创意灵感（UI/平面/摄影/插画）。优势：免费且无限浏览，项目展示更完整（含过程和说明），与 Adobe 工具深度集成。局限：作品质量参差不齐，需要自行筛选。推荐理由：看完整设计案例和项目流程的最佳平台，适合深度学习设计思路。"
Awwwards,https://www.awwwards.com,inspiration,web,网页设计评奖平台，展示前沿 Web 设计趋势,web design awards trending creative website,freemium,"核心特色：专业网页设计评审平台，由评委团打分评选最佳网站设计。适用场景：了解 Web 设计最新趋势、寻找创意网页交互案例、学习前沿开发技术应用。优势：每个作品有详细评分（设计/可用性/创意/内容），质量保证极高。局限：部分高级功能需付费，案例偏创意型不一定适合商业项目直接参考。推荐理由：Web 设计领域的奥斯卡，想做出色网站必看的灵感源。"
CSS Design Awards,https://www.cssdesignawards.com,inspiration,web,CSS 网页设计竞赛与灵感画廊,css web design awards gallery competition,free,"核心特色：聚焦 CSS/前端技术实现的网页设计评选平台。适用场景：寻找技术驱动的创意网页设计、学习 CSS 高级技巧的实战案例。优势：免费浏览，侧重技术实现而非纯视觉，对前端开发者更友好。局限：更新频率不如 Awwwards，社区规模较小。推荐理由：前端开发者寻找 CSS 创意实现灵感的好去处。"
SiteInspire,https://www.siteinspire.com,inspiration,web,精选优质网页设计灵感集合,web design inspiration curated quality,free,"核心特色：由编辑精选的高质量网页设计灵感库，分类清晰。适用场景：按风格/类型/主题快速筛选网页设计参考。优势：免费使用，筛选维度丰富（风格/类型/主题/平台），界面简洁无干扰。局限：没有评分系统，更新频率一般。推荐理由：快速按条件筛选网页灵感的高效工具，分类做得非常好。"
Lapa Ninja,https://www.lapa.ninja,inspiration,landing,Landing Page 设计灵感合集，含免费设计资源,landing page design inspiration free resources,free,"核心特色：专注 Landing Page 的设计灵感平台，附带免费设计资源下载。适用场景：设计 SaaS/产品 Landing Page 时寻找布局和视觉参考。优势：完全免费，按行业/颜色/风格分类，还提供免费 UI Kit 和设计书籍。局限：部分案例可能过时。推荐理由：Landing Page 设计灵感 + 免费资源双重价值，性价比极高。"
LandingFolio,https://www.landingfolio.com,inspiration,landing,Landing Page 设计灵感与模板库,landing page templates design inspiration,freemium,"核心特色：Landing Page 灵感 + 可购买模板的综合平台。适用场景：快速找到 Landing Page 各组件（Hero/Pricing/CTA/FAQ 等）的设计参考。优势：按页面组件分类浏览，可以单独参考某个区块的设计，部分模板可直接购买使用。局限：完整访问需付费。推荐理由：按组件拆解 Landing Page 设计的独特视角，特别实用。"
Landbook,https://land-book.com,inspiration,landing,精选 Landing Page 与网页设计灵感,landing page web design inspiration curated,free,"核心特色：精选优质 Landing Page 合集，支持多维度筛选。适用场景：需要高质量 Landing Page 参考时的快速浏览。优势：免费使用，UI 干净整洁，支持按类型/风格/颜色筛选。局限：收录数量相对较少。推荐理由：质量优先的 Landing Page 灵感源，筛选体验流畅。"
One Page Love,https://onepagelove.com,inspiration,landing,单页网站设计灵感与模板资源,one page website design templates inspiration,freemium,"核心特色：专注单页网站设计的灵感与模板平台。适用场景：设计个人作品集、活动页面、产品介绍等单页网站。优势：单页网站细分领域的标杆，模板质量高，有详细设计分析文章。局限：仅覆盖单页网站，付费模板较多。推荐理由：做单页网站的首选参考，没有之一。"
SaaS Landing Page,https://saaslandingpage.com,inspiration,landing,SaaS 产品 Landing Page 设计灵感集,saas landing page design inspiration product,free,"核心特色：专门收集 SaaS 产品 Landing Page 的灵感库。适用场景：为 SaaS/B2B 产品设计转化率高的 Landing Page。优势：完全免费，专注 SaaS 垂直领域，案例针对性强。局限：更新不够频繁，分类较简单。推荐理由：SaaS 产品团队的必备参考，直接对标竞品设计。"
